	transactions	transaction	article	bitcoin	market	cryptocurrency	cryptocurrencies	economy	money	currency	place_holder_00	place_holder_01	place_holder_02	place_holder_03	place_holder_04	place_holder_05	place_holder_06	place_holder_07	place_holder_08	place_holder_09
word_count:2022_02	31.0	36.0	34.0	14.0	31.0	17.0	11.0	13.0	6.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2022_03	74.0	60.0	53.0	40.0	38.0	35.0	25.0	18.0	7.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2022_04	34.0	41.0	35.0	15.0	31.0	12.0	5.0	18.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2022_05	56.0	50.0	37.0	16.0	36.0	14.0	7.0	10.0	2.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2022_06	76.0	59.0	70.0	27.0	42.0	36.0	19.0	35.0	8.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2022_07	56.0	47.0	58.0	30.0	40.0	27.0	24.0	17.0	3.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2022_08	65.0	57.0	43.0	27.0	28.0	31.0	16.0	17.0	3.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2022_09	61.0	64.0	67.0	21.0	49.0	21.0	18.0	23.0	10.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2022_10	65.0	62.0	45.0	27.0	27.0	24.0	18.0	12.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2022_11	94.0	72.0	77.0	43.0	49.0	29.0	31.0	17.0	8.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2022_12	103.0	101.0	89.0	41.0	63.0	39.0	39.0	38.0	15.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2023_01	1364.0	1041.0	789.0	481.0	644.0	510.0	368.0	336.0	228.0	113.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
